,solar,load,price
2022-06-01 21:15:00,0.0,0.36883101447423283,0.16
2022-06-01 21:30:00,0.0,0.37180960400899243,0.16
2022-06-01 21:45:00,0.0,0.4591628344853719,0.16
2022-06-01 22:00:00,0.0,0.21856290276845303,0.16
2022-06-01 22:15:00,0.0,0.1866723527908325,0.16
2022-06-01 22:30:00,0.0,0.15850477711359656,0.16
2022-06-01 22:45:00,0.0,0.0810558839241663,0.16
2022-06-01 23:00:00,0.0,0.20060941600799553,0.16
2022-06-01 23:15:00,0.0,0.6264246889750162,0.16
2022-06-01 23:30:00,0.0,1.0488961804707844,0.16
2022-06-01 23:45:00,0.0,0.5433436749776204,0.16
2022-06-02 00:00:00,0.0,0.524905362447,0.12
2022-06-02 00:15:00,0.0,0.7752395553588333,0.12
2022-06-02 00:30:00,0.0,1.48362512969975,0.12
2022-06-02 00:45:00,0.0,0.6810741144815001,0.12
2022-06-02 01:00:00,0.0,0.5633105761210001,0.12
2022-06-02 01:15:00,0.0,0.5251948458354166,0.12
2022-06-02 01:30:00,0.0,0.49443010584525005,0.12
2022-06-02 01:45:00,0.0,0.5296561126708333,0.12
2022-06-02 02:00:00,0.0,0.5074806734722499,0.12
2022-06-02 02:15:00,0.0,0.64218523279825,0.12
2022-06-02 02:30:00,0.0,0.4445091692608333,0.12
2022-06-02 02:45:00,0.0,0.5078084195456667,0.12
2022-06-02 03:00:00,0.0,0.43718481699591666,0.12
2022-06-02 03:15:00,0.0,0.4699825375875833,0.12
2022-06-02 03:30:00,0.0,0.4194597256978333,0.12
2022-06-02 03:45:00,0.0,0.4508928794860833,0.12
2022-06-02 04:00:00,0.0,0.4642137616476667,0.12
2022-06-02 04:15:00,0.0,0.40355521011350004,0.12
2022-06-02 04:30:00,0.0,0.4590130602519166,0.12
2022-06-02 04:45:00,0.0,0.40376701863591663,0.12
2022-06-02 05:00:00,0.0,0.46649033610016666,0.12
2022-06-02 05:15:00,0.0,0.39365469487491667,0.12
2022-06-02 05:30:00,0.0,0.46835315322875,0.12
2022-06-02 05:45:00,0.015983333333333332,0.21925002074240835,0.12
2022-06-02 06:00:00,0.051519999999999996,0.3008268991309833,0.16
2022-06-02 06:15:00,0.12840333333333334,0.2557089571952917,0.16
2022-06-02 06:30:00,0.2873733333333333,0.36959954198175,0.16
2022-06-02 06:45:00,0.19093666666666664,0.2833456115721584,0.16
2022-06-02 07:00:00,0.31353,0.29638045406345004,0.16
2022-06-02 07:15:00,0.4481866666666666,0.3804297841391666,0.16
2022-06-02 07:30:00,0.5197966666666667,0.4403738733929166,0.16
2022-06-02 07:45:00,0.65233,0.4714945602416667,0.16
2022-06-02 08:00:00,0.8250433333333334,0.7211137059529166,0.16
2022-06-02 08:15:00,1.1580099999999998,0.744834203084275,0.16
2022-06-02 08:30:00,0.8650133333333333,0.5527068227130834,0.16
2022-06-02 08:45:00,1.48106,0.7175435689289167,0.16
2022-06-02 09:00:00,1.865943333333333,0.7745281778970001,0.16
2022-06-02 09:15:00,1.8229166666666665,0.9141349995929999,0.16
2022-06-02 09:30:00,2.0539633333333334,1.3563260091144167,0.16
2022-06-02 09:45:00,2.1801966666666663,0.9253343709309167,0.16
2022-06-02 10:00:00,2.271266666666666,0.9178965250650835,0.16
2022-06-02 10:15:00,2.423025,0.9821989876883036,0.16
2022-06-02 10:30:00,2.4778133333333328,0.86579349772125,0.16
2022-06-02 10:45:00,2.7184966666666663,1.093332987467167,0.16
